Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
1/23/23 21:17,New York,NY,USA,Light,30 minutes,Random bright blue light,3/6/23,
1/23/23 21:02,Hilmar,CA,USA,Oval,45 to 50 minutes,"Object was bright. Looked as though lights lined either side of craft. Went from due north to due west rapidly, hovered then vanished.",3/6/23,Yes
1/23/23 20:30,Archdale,NC,USA,Triangle,Constant,"Green and reddish pink lights, triangular",3/6/23,
1/23/23 20:13,Kailua,HI,USA,Egg,N/A,Unexpected red ( reflecting voggy atmosphere) object in photo,3/6/23,Yes
1/23/23 20:04,Statham,GA,USA,Star,less than 2 minutes,Two stars appeared to be moving away from earth/then disappeared,3/6/23,
1/23/23 19:20,Okeechobee,FL,USA,Star,3 mins from first sight,See 1 to 3 every evening between 7-9 PM moving very fast and too high to be planes flying erratically,3/6/23,
1/23/23 18:00,Houma,LA,USA,Other,10 seconds.,Video is in slo motion capture due to wanting to capture my dog running towards me. Youll see an object in the background flying fast!,3/6/23,
1/23/23 18:00,Burkesville,KY,USA,Other,One minute,Saw two small satellites converge and exchange bolts of light.,3/6/23,
1/23/23 14:15,Benicia,CA,USA,Light,5-10 seconds,I saw a bright light that looked metallic in mid-day float straight then disappear.,3/6/23,
1/23/23 13:50,Gustine ( about 5 miles west of Gustine),CA,USA,Triangle,About 15 minutes,I was watching an airliner traveling south to north putting out a large jet trail when I spotted the craft just show heading west to ea,3/6/23,
1/23/23 06:30,Rohrsburg,PA,USA,Light,60 seconds,Two non-blinking lights with a distance between them the same as the length of the big dipper.,3/6/23,
1/23/23 05:30,Benicia,CA,USA,Light,Watched for a minute or s,"Star sized flickering object at satellite height, moving erratically at speed of a plane, then stopping dead and remaining still.",3/6/23,
1/23/23 04:05,KENNESAW,GA,USA,Orb,3 seconds,It is a white globe the white surface has texture it has a gold and dark brown ring around the globe there are blue flam,4/9/23,
1/22/23 23:17,Fowler California,,,Diamond,4 mins,I was driving and noticed a bright light in the sky in a diamond shape .,3/6/23,
1/22/23 22:00,Palmdale,CA,USA,Unknown,,A light that disappears,3/6/23,
1/22/23 21:25,,FL,USA,Light,"Intermittently,30 minutes","Over 30 min, observed a starlike object, moving rapidly in the vertical, and horizontal, varying intensity, for 5-10 seconds each time.",3/6/23,Yes
